"MuiTypography-root href","MuiBox-root src","MuiTypography-root","MuiTypography-root 2","MuiStack-root","MuiStack-root 2","MuiStack-root 3","MuiBox-root"
"https://emploitic.com/entreprises/holiday-inn/offres-d-emploi/services/directeur-commercial-marketing-199f61ed737b9b686f73117f","https://emploitic.com/images/logos/arn:eu-west-1:oss::56453746fb55e8f0c02f7459:logo:66298dd5b5d95b7345366431","Directeur Commercial & Marketing","Holiday Inn","Cheraga, Daïra Cheraga, Alger, Algérie","30 March","Confirmé / Expérimenté (6 À 10 Ans)","<p><b>Présentation de l’entreprise:  </b></p><p>L’hôtel Holiday Inn Algiers-Cheraga Tower est une conjugaison parfaite du prestige contemporain et du confort. Du haut de ses 105 mètres, le Holiday Inn est l'un des plus haut édifices d'Alger.<br /></p><p> Depuis son lancement effectif en Janvier 2018"
"https://emploitic.com/entreprises/groupe-nia/offres-d-emploi/distribution-commerce/community-manager-222503c7faf010020d03a9b6","https://emploitic.com/images/logos/arn:eu-west-1:oss::037a2751746fb7500636817f:logo:6629cd4ab5d95b7345368dbb","Community Manager","SARL MDS TEXSTILE","Alger, Algérie","29 March","Confirmé / Expérimenté (1 À 2 Ans)","<p></p><p>Nous recherchons un Community Manager (M/F) expérimenté pour rejoindre notre équipe dynamique à Alger.&nbsp;&nbsp;</p><p>Le/la candidat(e) idéal(e)&nbsp;    possède une expérience dans le domaine du Retail et sera chargé(e) de gérer et d’animer les réseaux sociaux de l’entreprise afin de d"
"https://emploitic.com/entreprises/prestatech/offres-d-emploi/services/social-media-community-manager-0ac402b27fef580d4e41cbab","https://emploitic.com/images/logos/arn:eu-west-1:oss::96f36aa322f9bb347b338c78:logo:6629b148b5d95b7345367cf3","Social Media & Community Manager","PRESTATECH","Alger, Algérie","29 March","Confirmé / Expérimenté (3 À 5 Ans)","<p>Nous recherchons un(e) profil dynamique et créatif(ve) spécialisé(e) dans l’animation et le&nbsp; développement des réseaux sociaux (Facebook, Instagram, TikTok, X/Twitter).&nbsp;</p><p><strong>Missions principales :&nbsp;</strong></p><p>• Élaborer et mettre en œuvre une stratégie de contenu adap"
"https://emploitic.com/entreprises/haut-commissariat-a-la-numerisation-hcn/offres-d-emploi/informatique-telecom-internet/superviseurs-et-agents-call-center-233ec60f77d136bc67c23530","https://emploitic.com/images/sectors/informatique.jpg","Superviseurs et agents call center","Haut Commissariat à la Numérisation - HCN","Alger, Algérie","26 March","Responsable d'Équipe (3 À 5 Ans)","<h3>Description:</h3><p>Nous recrutons 8 Superviseurs et Agents Call Center basés à Alger, Algérie. Ce poste s'adresse à des candidats ayant entre 3 et 5 ans d'expérience, titulaires d'un diplôme allant de Bac +2 à Bac +5, ou équivalent universitaire, et souhaitant évoluer dans les domaines de l'ass"
"https://emploitic.com/entreprises/axa-assurance-algerie/offres-d-emploi/banque-assurance-finance/charge-de-communication-digitale-9b899956b0fa144d74cb295a","https://recruiter.emploitic.com/api/v2/photo/logo/arn:local:oss:emploitic:35add57e-da1a-44a3-a90e-3d379f8065ff:logo:6995fe17f76111222985e7a6","Chargé de communication digitale","AXA Assurance Algérie","Alger, Algérie","25 March","Confirmé / Expérimenté (3 À 5 Ans)","<p>AXA recrute un(e) Chargé(e) de Communication Digitale pour renforcer sa présence en ligne et accompagner sa transformation digitale. Vous serez au cœur de la stratégie de communication, avec un rôle clé dans la gestion, l’animation et l’optimisation des canaux digitaux de l’entreprise.</p><p></p>"
"https://emploitic.com/entreprises/high-tech-systems-2/offres-d-emploi/services/responsable-marketing-68555b7ea7cc1d479107cd0f","https://emploitic.com/images/logos/arn:eu-west-1:oss::66810db9ee0dd321020a6f08:logo:673f00bb6a203211aa74b7dd","RESPONSABLE MARKETING","High tech Systems","Alger, Algérie","25 March","Responsable d'Équipe (3 À 5 Ans)","<ul><li><span style=""font-size: 1rem;"">Dynamique et innovant(e).</span></li><li><strong jsaction="""" jscontroller=""zYmgkd"" data-sfc-root=""c"" jsuid=""zesPze_15"" data-sfc-cb="""" data-processed=""true"" style=""font-size: 1rem;"">Mission :</strong><span style=""font-size: 1rem;""> Sous la direction Directeur Gé"
"https://emploitic.com/entreprises/optimus-business-solutions-algerie/offres-d-emploi/services/community-manager-birkhadem-e5706c6440578f2e0aded6ca","https://emploitic.com/images/logos/arn:eu-west-1:oss::a037de28a21fc707967df61b:logo:69c503246f0feb6f400c469b","Community Manager (Birkhadem)","Optimus Business Solutions Algerie","Alger, Algérie","25 March","Débutant / Junior (Moins D’un An)","<p>Nous recherchons un Community Manager :</p><p></p><ul data-start=""901"" data-end=""1149""><li data-section-id=""156584s"" data-start=""901"" data-end=""981""><p data-start=""903"" data-end=""981"">Gestion et animation des réseaux sociaux (Instagram, Facebook, LinkedIn, etc.)</p></li><li data-section-id=""1b68g"
"https://emploitic.com/entreprises/amimer-energie/offres-d-emploi/industries/charge-de-communication-digitale-bb966d671a72d3daefe85182","https://emploitic.com/images/logos/arn:eu-west-1:oss::d0b43639ab7fed7c24075f0c:logo:66298893b5d95b73453660f9","chargé de communication digitale","Amimer Energie","Alger, Algérie","25 March","Confirmé / Expérimenté (3 À 5 Ans)","<p>  <br /></p><strong data-start=""418"" data-end=""443"">Mission principale</strong><p><span style=""font-size: 1rem;"">Développer la visibilité et l’image de l’entreprise à travers la création de contenus digitaux (visuels, photos, vidéos) et l’animation des plateformes digitales.</span></p><strong dat"
"https://emploitic.com/offres-d-emploi/informatique-telecom-internet/responsable-marketing-digital-4efaed6002336ba7a55a466a","https://emploitic.com/images/sectors/informatique.jpg","responsable marketing digital","Entreprise anonyme","Alger, Algérie","25 March","Confirmé / Expérimenté (6 À 10 Ans)","<h3>Description:</h3><p>Nous recherchons un(e) Responsable Marketing Digital confirmé(e) pour rejoindre notre équipe dynamique à Alger. Le candidat idéal possède entre 3 et 10 ans d'expérience dans le domaine du marketing et de la communication digitale, avec un excellent sens de l'analyse et une fo"
"https://emploitic.com/entreprises/sarl-innova-link/offres-d-emploi/services/tele-operateurtrice-ef75b50a6513e0f5fba7ee66","https://recruiter.emploitic.com/api/v2/photo/logo/arn:local:oss:emploitic:26f940e1-7204-4dd1-a4d8-f74dcadcd6c2:logo:69c39dbbf761112229d72a76","Télé Opérateur(trice)","SARL INNOVA LINK","Boumerdès, Algérie","25 March","Jeune Diplômé (Sans Expérience)","<p>Vous êtes dynamique, à l’aise au téléphone et vous aimez le contact avec les clients ? Rejoignez notre équipe !</p><p>La société <strong>Innova Link</strong> recrute des <strong>téléopérateur(trice)s</strong> pour renforcer son centre d’appel.</p><p>🎯 <strong>Missions principales :</strong><br>•"
